,healthy_GSM4205771,healthy_GSM4205772,healthy_GSM4205773,healthy_GSM4205774,disease_GSM4205775,disease_GSM4205776,disease_GSM4205777,disease_GSM4205778
ENSG00000014138,36,58,16,24,17,17,12,12
ENSG00000014164,6,10,3,3,4,10,9,8
ENSG00000014216,121,273,138,89,128,104,80,94
ENSG00000014257,0,0,0,0,2,3,2,7
ENSG00000014641,119,428,164,97,156,98,113,68
ENSG00000014824,104,264,161,84,117,104,113,143
ENSG00000014914,8,47,5,12,20,21,15,28
ENSG00000014919,57,112,60,47,47,34,47,33
ENSG00000015133,0,1,0,0,1,1,1,0
ENSG00000015153,38,94,67,45,54,43,49,76
ENSG00000015171,101,291,323,194,83,142,137,221
ENSG00000015285,0,0,0,0,1,1,0,2
ENSG00000015413,0,0,0,0,0,0,0,0
ENSG00000015475,24,93,62,14,37,43,44,47
ENSG00000015479,0,0,3,0,0,1,4,0
ENSG00000015520,0,0,0,0,1,3,0,0
ENSG00000015532,45,71,36,33,49,33,26,50
ENSG00000015568,0,0,0,0,0,0,0,0
ENSG00000015592,0,0,0,0,0,0,0,0
ENSG00000015676,122,269,103,98,142,114,94,135
ENSG00000016082,0,0,4,0,1,0,0,0
ENSG00000016391,0,0,0,0,1,1,1,3
ENSG00000016402,0,1,0,0,0,1,1,0
ENSG00000016490,0,0,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,0,0,0,0
ENSG00000016864,31,98,34,26,60,51,53,51
ENSG00000017260,59,127,57,52,46,52,35,38
ENSG00000017427,1,0,14,1,0,4,5,0
ENSG00000017483,40,88,23,27,15,15,12,19
ENSG00000017797,193,602,412,278,244,262,238,335
ENSG00000018189,73,203,146,93,76,132,102,132
ENSG00000018236,0,0,0,0,0,1,0,0
ENSG00000018280,0,0,0,0,4,0,0,2
ENSG00000018408,64,152,146,84,93,105,88,103
ENSG00000018510,22,32,30,27,12,28,28,25
ENSG00000018610,25,49,23,7,14,13,15,12
ENSG00000018625,0,0,0,0,1,2,1,1
ENSG00000018699,4,56,26,16,7,20,4,16
ENSG00000018869,1,8,1,0,5,1,1,7
ENSG00000019102,0,0,0,0,0,0,1,0
ENSG00000019144,161,207,108,120,222,235,157,286
ENSG00000019169,0,0,0,0,0,0,0,0
ENSG00000019186,0,0,0,0,0,0,0,0
ENSG00000019485,2,3,0,1,6,2,0,6
ENSG00000019505,0,0,0,0,0,0,0,0
ENSG00000019549,29,71,40,50,31,52,55,61
ENSG00000019582,1,5,0,0,13,11,3,4
ENSG00000019991,37,126,131,100,35,71,68,101
ENSG00000019995,57,185,150,86,49,89,94,103
ENSG00000020129,229,337,103,77,267,146,120,173
ENSG00000020181,55,147,41,46,85,97,66,98
ENSG00000020256,11,25,3,7,18,14,18,19
ENSG00000020426,6,43,69,59,19,34,46,51
ENSG00000020577,33,76,35,51,33,54,42,41
ENSG00000020633,26,23,25,31,2,2,11,5
ENSG00000020922,24,84,41,53,44,32,44,69
ENSG00000021300,0,4,0,0,0,1,1,1
ENSG00000021355,44,115,97,53,50,90,73,69
ENSG00000021461,0,0,0,0,0,0,0,0
